"id";"famille";"genre";"espece";"nom_vernaculaire";"WORMS_AphiID";"Fishbase_URL";"photos";"photo_credit";"description";"Ref_description";"Presence_records";"Ref_presence_record";"presence_mayotte";"presence_geyser_zelee";"presence_zelee_nov15";"Taille_maturite";"Type_taille_maturite";"Ref_taille_maturite";"Taille_max";"Type_taille_max";"Ref_taille_max";"Type_mesure_taille_max";"Ref_taille";"coeff_a";"coeff_b";"Niveau_taxo_coeff";"Type_mesure_coeffab";"Ref_coeff";"Interet_commercial_Mayotte";"Ref_commercial_Mayotte";"Vulnerabilite_peche";"Ref_vulnerabilite_peche";"last_update";"Remarque"
"54";"Arothron_stellatus";"TETRAODONTIDAE";"Arothron";"stellatus";"Poisson-ballon étoilé";NA;NA;"236";NA;"";NA;NA;NA;1;1;0;"62.9";NA;NA;"120";NA;NA;"TL";NA;"0.0915";"2.672";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"55";"Aspidontus_dussumieri";"BLENIIDAE";"Aspidontus";"dussumieri";"Blennie lance ";NA;NA;"757";NA;"";NA;NA;NA;0;0;0;"8.2";NA;NA;"12";NA;NA;"TL";NA;"0.0022";"3.901";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"56";"Aspidontus_taeniatus";"BLENIIDAE";"Aspidontus";"taeniatus";"faux nettoyeur";NA;NA;"758";NA;"";NA;NA;NA;0;0;0;"7.9";NA;NA;"11.5";NA;NA;"TL";NA;"0.0022";"3.901";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"57";"Aulostomus_chinensis";"AULOSTOMIDAE";"Aulostomus";"chinensis";"Poisson-trompette";NA;NA;"671,237";NA;"";NA;NA;NA;1;1;0;"44";NA;NA;"80";NA;NA;"TL";NA;"1.00E-04";"3.793";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"58";"Awaous_commersoni";"GOBIIDAE";"Awaous";"commersoni";"";NA;NA;"829";NA;"";NA;NA;NA;0;0;0;"15.7";NA;NA;"25";NA;NA;"SL";NA;"0.0264";"2.623";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"59";"Balistapus_undulatus";"BALISTIDAE";"Balistapus";"undulatus";"Baliste strié";NA;NA;"238,128";NA;"";NA;NA;NA;1;1;1;"18.5";NA;NA;"30";NA;NA;"TL";NA;"0.0057";"3.393";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"60";"Balistoides_conspicillum";"BALISTIDAE";"Balistoides";"conspicillum";"Baliste-clown";NA;NA;"61";NA;"";NA;NA;NA;1;1;1;"29";NA;NA;"38";NA;NA;"FL";NA;"0.019";"3.078";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"61";"Balistoides_viridescens";"BALISTIDAE";"Balistoides";"viridescens";"Baliste olivâtre";NA;NA;"239";NA;"";NA;NA;NA;1;1;0;"41.5";NA;NA;"75";NA;NA;"FL";NA;"0.0244";"3.018";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"62";"Belonoperca_chabanaudi";"SERRANIDAE";"Belonoperca";"chabanaudi";"Poisson-savon de Chabanaud";NA;NA;"747,602";NA;"";NA;NA;NA;1;1;0;"10";NA;NA;"15";NA;NA;"TL";NA;"0.0134";"3.031";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"63";"Blenniella_chrysospilos";"BLENIIDAE";"Blenniella";"chrysospilos";"";NA;NA;"759";NA;"";NA;NA;NA;0;0;0;"8.8";NA;NA;"13";NA;NA;"SL";NA;"0.0022";"3.901";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"64";"Bodianus_anthioides";"LABRIDAE";"Bodianus";"anthioides";"Vieille à queue de lyre";NA;NA;"62";NA;"";NA;NA;NA;1;1;1;"15.2";NA;NA;"24";NA;NA;"TL";NA;"0.0108";"3.173";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"65";"Bodianus_axillaris";"LABRIDAE";"Bodianus";"axillaris";"Labre à tache axillaire";NA;NA;"241,24";NA;"";NA;NA;NA;1;1;0;"12.9";NA;NA;"20";NA;NA;"SL";NA;"0.0108";"3.173";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"66";"Bodianus_bilunulatus";"LABRIDAE";"Bodianus";"bilunulatus";"Vieille à selle noire";NA;NA;"472,93";NA;"";NA;NA;NA;1;1;1;"31.6";NA;NA;"55";NA;NA;"TL";NA;"0.0108";"3.173";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"67";"Bodianus_diana";"LABRIDAE";"Bodianus";"diana";"Labre de Diane";NA;NA;"458,386,90";NA;"";NA;NA;NA;1;1;1;"15.7";NA;NA;"25";NA;NA;"SL";NA;"0.0108";"3.173";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"68";"Bodianus_opercularis";"LABRIDAE";"Bodianus";"opercularis";"Labre à rayures blanches";"218926";"https://www.fishbase.in/summary/Bodianus-opercularis.html";"";NA;"";NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"69";"Bolbometopon_muricatum";"SCARIDAE";"Bolbometopon";"muricatum";"Perroquet à bosse";NA;NA;"589";NA;"";NA;NA;NA;1;1;0;"55";NA;NA;"130";NA;NA;"TL";NA;"0.0222";"2.971";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"70";"Bryaninops_natans";"GOBIIDAE";"Bryaninops";"natans";"";NA;NA;"803";NA;"";NA;NA;NA;0;0;0;"2";NA;NA;"2.5";NA;NA;"TL";NA;"0.0264";"2.623";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"71";"Bryaninops_sp.";"GOBIIDAE";"Bryaninops";"sp.";"";NA;NA;"804";NA;"";NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;"0.0264";"2.623";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"72";"Caesio_caerulaurea";"CAESIONIDAE";"Caesio";"caerulaurea";"Caesio azur";NA;NA;"242";NA;"robe gris argenté traverée par 1 bande longitudinale de couleur or gansée de bleu. La ligne rejoint les barres sombres de la caudale. Tache noire a la base de la pectorale ";NA;NA;NA;1;1;0;"21.2";NA;NA;"35";NA;NA;"TL";NA;"0.02";"2.991";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"73";"Caesio_lunaris";"CAESIONIDAE";"Caesio";"lunaris";"Caesio à croissant";NA;NA;"694,21";NA;"bleu vert argent. 1 Fin liseré jaune qui souligne la ligne latérale. Extrémité du lobe noires. ";NA;NA;NA;1;1;1;"23.8";NA;NA;"40";NA;NA;"TL";NA;"0.0093";"3.253";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"74";"Caesio_striata";"CAESIONIDAE";"Caesio";"striata";"Caesio strié";NA;NA;"790,673,314";NA;"4 lignes noires bien visibles bord externe de la queue noires ";NA;NA;NA;1;1;0;"15.7";NA;NA;"25";NA;NA;"TL";NA;"0.0093";"3.253";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"75";"Caesio_suevica";"CAESIONIDAE";"Caesio";"suevica";"Fusilier de Suez";NA;NA;"97";NA;"bleuté, ventre clair. Ligne jaune suit le dos jusqu'au lobe sup de la caudale.  Pointes noires sur les lobes surlignées de blancs. Pointes noires sur pectorale";NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"76";"Caesio_teres";"CAESIONIDAE";"Caesio";"teres";"Fusilier à dos jaune et bleu";NA;NA;"316";NA;"long ruban jaune qui prend naissnace sur le dos et s'étend sur le pedoncule ";NA;NA;NA;1;1;0;"23.8";NA;NA;"40";NA;NA;"TL";NA;"0.0093";"3.253";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"77";"Caesio_varilineata";"CAESIONIDAE";"Caesio";"varilineata";"Caesio à lignes variables";NA;NA;"637";NA;"robe bleu clair argenté 2 à 6 lignes horizontales jaunes d'epaisseur varaible. Traits sombres sur les lobes de la caudale.";NA;NA;NA;1;1;0;"23.8";NA;NA;"40";NA;NA;"TL";NA;"0.0093";"3.253";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"78";"Caesio_xanthonota";"CAESIONIDAE";"Caesio";"xanthonota";"Fusilier à dos jaune";NA;NA;"483,63";NA;"Moitié du corp jaune le reste bleu. ";NA;NA;NA;1;1;1;"23.8";NA;NA;"40";NA;NA;"TL";NA;"0.0093";"3.253";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"79";"Calotomus_carolinus";"SCARIDAE";"Calotomus";"carolinus";"Perroquet des Carolines";NA;NA;"11,10";NA;"PT: robe bleu vert des traits roses partent de l'œil  PI: brun et gris ";NA;NA;NA;0;1;0;"31.1";NA;NA;"54";NA;NA;"TL";NA;"0.0222";"2.971";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"80";"Calotomus_spinidens";"SCARIDAE";"Calotomus";"spinidens";"Perroquet à dents épineuses";NA;NA;"15";NA;"PI: brun verdatre joues portent deux barres  oranges de l'œil à la machoire tache noire persnte a la barre de la nagoire dorsale parfois sur la pectorale ";NA;NA;NA;1;0;0;"17.6";NA;NA;"30";NA;NA;"TL";NA;"0.0222";"2.971";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"81";"Calotomus_viridescens";"SCARIDAE";"Calotomus";"viridescens";"Perroquet à pointillés";NA;NA;"14";NA;"brun vert avec des taches tirets roses. Point noir sur la joue et la zone au dessus de la pectorale ";NA;NA;NA;1;0;0;"13.5";NA;NA;"21";NA;NA;"SL";NA;"0.0222";"2.971";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"82";"Cantherhines_dumerilii";"MONACANTHIDAE";"Cantherhines";"dumerilii";"Monacanthe rayé";NA;NA;"729,531";NA;"nagoires dorsales  et anales oranges";NA;NA;NA;1;1;0;"22.8";NA;NA;"38";NA;NA;"TL";NA;"0.02512";"2.91";NA;NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"83";"Cantherhines_pardalis";"MONACANTHIDAE";"Cantherhines";"pardalis";"Poisson lime panthère";NA;NA;"533";NA;"";NA;NA;NA;1;1;0;"15.7";NA;NA;"25";NA;NA;"TL";NA;"0.017";"3.07";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"84";"Canthigaster_amboinensis";"TETRAODONTIDAE";"Canthigaster";"amboinensis";"Canthigaster d'Amboine";NA;NA;"652";NA;"";NA;NA;NA;1;1;0;"10";NA;NA;"15";NA;NA;"TL";NA;"0.0424";"2.822";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"85";"Canthigaster_bennetti";"TETRAODONTIDAE";"Canthigaster";"bennetti";"Canthigaster de Bennett";NA;NA;"653";NA;"";NA;NA;NA;1;1;0;"7";NA;NA;"10";NA;NA;"TL";NA;"0.0424";"2.822";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"86";"Canthigaster_janthinoptera";"TETRAODONTIDAE";"Canthigaster";"janthinoptera";"Canthigaster alvéolé";NA;NA;"655";NA;"";NA;NA;NA;1;1;0;"6.4";NA;NA;"9";NA;NA;"TL";NA;"0.0424";"2.822";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"87";"Canthigaster_smithae";"TETRAODONTIDAE";"Canthigaster";"smithae";"Canthigaster bicolore";NA;NA;"656";NA;"";NA;NA;NA;1;1;0;"8.8";NA;NA;"13";NA;NA;"TL";NA;"0.0424";"2.822";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"88";"Canthigaster_tyleri";"TETRAODONTIDAE";"Canthigaster";"tyleri";"Canthigaster de Tyler";NA;NA;"657";NA;"";NA;NA;NA;1;1;0;"6.4";NA;NA;"9";NA;NA;"TL";NA;"0.0424";"2.822";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"89";"Canthigaster_valentini";"TETRAODONTIDAE";"Canthigaster";"valentini";"Canthigaster à selles";NA;NA;"183";NA;"";NA;NA;NA;1;1;0;"7.6";NA;NA;"11";NA;NA;"TL";NA;"0.0367";"2.943";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"90";"Caracanthus_madagascariensis";"SCORPAENIDAE";"Caracanthus";"madagascariensis";"Caracanthe malgache";NA;NA;"320";NA;"";NA;NA;NA;1;1;0;"3.8";NA;NA;"5";NA;NA;"TL";NA;NA;NA;NA;NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"91";"Caracanthus_unipinna";"SCORPAENIDAE";"Caracanthus";"unipinna";"Caracanthe pygmée";NA;NA;"321";NA;"";NA;NA;NA;1;1;0;"3.8";NA;NA;"5";NA;NA;"TL";NA;NA;NA;NA;NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"92";"Carangoides_armatus";"CARANGIDAE";"Carangoides";"armatus";"Carangue sap-sap";NA;NA;"330";NA;"";NA;NA;NA;1;1;0;"32.6";NA;NA;"57";NA;NA;"TL";NA;"0.0115";"3.126";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"93";"Carangoides_ferdau";"CARANGIDAE";"Carangoides";"ferdau";"Carangue tachetée";NA;NA;"";NA;"";NA;NA;NA;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;"0.013";"3.01";"Espece";NA;"https://www.fishbase.se/popdyn/LWRelationshipList.php?ID=1921&GenusName=Carangoides&SpeciesName=ferdau&fc=314 , Parducho, Vina Angelica - 2018-10-31";NA;NA;NA;NA;NA;NA
"94";"Caranx_heberi";"CARANGIDAE";"Caranx";"heberi";"Carangue cocole";NA;NA;"331";NA;"";NA;NA;NA;1;1;0;"46.4";NA;NA;"85";NA;NA;"TL";NA;"0.0198";"2.986";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"95";"Caranx_ignobilis";"CARANGIDAE";"Caranx";"ignobilis";"Carangue à grosse tête";NA;NA;"139";NA;"";NA;NA;NA;1;1;0;"60";NA;NA;"140";NA;NA;"FL";NA;"0.0164";"3.059";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"96";"Caranx_lugubris";"CARANGIDAE";"Caranx";"lugubris";"Carangue noire";NA;NA;"324";NA;"";NA;NA;NA;1;1;0;"51.3";NA;NA;"100";NA;NA;"TL";NA;"0.0198";"2.986";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"97";"Caranx_melampygus";"CARANGIDAE";"Caranx";"melampygus";"Carangue bleue";NA;NA;"64";NA;"";NA;NA;NA;1;1;1;"51";NA;NA;"117";NA;NA;"FL";NA;"0.0234";"2.918";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"98";"Caranx_papuensis";"CARANGIDAE";"Caranx";"papuensis";"Carangue cuivrée";NA;NA;"690,217";NA;"";NA;NA;NA;1;0;0;"47.8";NA;NA;"88";NA;NA;"TL";NA;"0.0235";"2.923";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"99";"Caranx_sexfasciatus";"CARANGIDAE";"Caranx";"sexfasciatus";"Carangue à gros yeux";NA;NA;"323,138";NA;"tache noir à l'angle sup de l'opercule 2eme dorsale est blanche. Juv doré 6 ou 7 bandes verticales + sombres.";NA;NA;NA;1;1;0;"48.4";NA;NA;"120";NA;NA;"TL";NA;"0.0198";"2.986";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"100";"Caranx_tille";"CARANGIDAE";"Caranx";"tille";"Carangue tille";NA;NA;"731";NA;"nageoire pectorale arquée très longue ";NA;NA;NA;1;0;0;"44";NA;NA;"80";NA;NA;"TL";NA;"0.0198";"2.986";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"101";"Carcharhinus_albimarginatus";"CARCHARHINIDAE";"Carcharhinus";"albimarginatus";"Requin pointes blanches de récif";NA;NA;"329";NA;"";NA;NA;NA;1;1;0;"141";NA;NA;"300";NA;NA;"TL";NA;"0.00305";"3.243";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"102";"Carcharhinus_amblyrhynchos";"CARCHARHINIDAE";"Carcharhinus";"amblyrhynchos";"Requin dagsit";NA;NA;"416";NA;"";NA;NA;NA;1;1;1;"89";NA;NA;"255";NA;NA;"TL";NA;"0.0023";"3.373";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"103";"Carcharhinus_melanopterus";"CARCHARHINIDAE ";"Carcharhinus";"melanopterus";"Requin pointe noire";NA;NA;"";NA;"";NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;"0.01500";"2.750";"Espece";NA;"https://www.fishbase.in/popdyn/LWRelationshipList.php?ID=877&GenusName=Carcharhinus&SpeciesName=melanopterus&fc=11";NA;NA;NA;NA;NA;NA
"104";"Centropyge_acanthops";"POMACANTHIDAE";"Centropyge";"acanthops";"Poisson-ange africain";NA;NA;"559";NA;"";NA;NA;NA;1;1;1;"5.8";NA;NA;"8";NA;NA;"TL";NA;"0.0745";"2.577";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"105";"Centropyge_bispinosa";"POMACANTHIDAE";"Centropyge";"bispinosa";"Poisson-ange à deux épines";NA;NA;"243";NA;"";NA;NA;NA;1;1;0;"7";NA;NA;"10";NA;NA;"TL";NA;"0.092";"2.458";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"106";"Centropyge_multispinis";"POMACANTHIDAE";"Centropyge";"multispinis";"Poisson-ange brun";NA;NA;"244,104";NA;"";NA;NA;NA;1;1;1;"9.4";NA;NA;"14";NA;NA;"TL";NA;"0.0745";"2.577";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"107";"Cephalopholis_argus";"SERRANIDAE";"Cephalopholis";"argus";"Mérou céleste";NA;NA;"459,193,146";NA;"";NA;NA;NA;1;1;1;"34.1";NA;NA;"60";NA;NA;"TL";NA;"0.0166";"3.015";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"108";"Cephalopholis_aurantia";"SERRANIDAE";"Cephalopholis";"aurantia";"Vieille dorée";NA;NA;"";NA;"";NA;NA;NA;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;"0.0115";"3.109";"Genre";NA;NA;NA;NA;NA;NA;NA;NA
"109";"Cephalopholis_boenak";"SERRANIDAE";"Cephalopholis";"boenak";"Mérou de Boenack";NA;NA;"190";NA;"robe brune , 7 a 8 bandes verticlaes plus denses tache ronde foncée sur la partie sup de l'opercule bord des nageoires  anales caudales et dorsales sombre bordées de bleu";NA;NA;NA;1;1;0;"18.5";NA;NA;"30";NA;NA;"TL";NA;"0.0146";"3.019";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"110";"Cephalopholis_leopardus";"SERRANIDAE";"Cephalopholis";"leopardus";"Vieille léopard";NA;NA;"749,603";NA;"couleur rouge vif + tache rose tache noire sur le haut du pedoncule ligne rouge sur caudale";NA;NA;NA;1;1;0;"15.2";NA;NA;"24";NA;NA;"TL";NA;"0.0115";"3.109";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"111";"Cephalopholis_miniata";"SERRANIDAE";"Cephalopholis";"miniata";"Vieille étoilée";NA;NA;"477,476,123";NA;"robe rouge parsemée de point bleu sauf sur les nageoires pectorales qui sont orangées";NA;NA;NA;1;1;1;"26.5";NA;NA;"45";NA;NA;"TL";NA;"0.0107";"3.114";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"112";"Cephalopholis_nigripinnis";"SERRANIDAE";"Cephalopholis";"nigripinnis";"Vieille aile noire";NA;NA;"750,738,607";NA;"Se distingue aisément des autres petits mérous par la couleur noire de ses nageoires pectorales";"Taquet & Di";NA;NA;0;0;0;"17.4";NA;NA;"28";NA;NA;"TL";NA;"0.0282";"2.818";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"113";"Cephalopholis_polleni";"SERRANIDAE";"Cephalopholis";"polleni";"Vieille arlequin";NA;NA;"604";NA;"jaune avec des traits violet de la tete a la queue";NA;NA;NA;1;1;0;"25.4";NA;NA;"43";NA;NA;"TL";NA;"0.0115";"3.109";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"114";"Cephalopholis_sexmaculata";"SERRANIDAE";"Cephalopholis";"sexmaculata";"Vieille à six taches";NA;NA;"605";NA;"robe rouge avec points bleu sur tt le corp a l'exception de la partie ventrale. Sur la tete les points bleu peuvent faire des lignes bandes verticales sombres sur le dos";NA;NA;NA;1;1;0;"29";NA;NA;"50";NA;NA;"TL";NA;"0.0115";"3.109";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"115";"Cephalopholis_spiloparaea";"SERRANIDAE";"Cephalopholis";"spiloparaea";"Vieille fraise";NA;NA;"606";NA;"robe rouge constélée de tache plus pale ligne blanche  bleuté sur caudale qui forme un V";NA;NA;NA;1;1;0;"18.5";NA;NA;"30";NA;NA;"TL";NA;"0.0115";"3.109";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"116";"Cetoscarus_ocellatus";"SCARIDAE";"Cetoscarus";"ocellatus";"Perroquet bicolore";NA;NA;"195,176,16,0";NA;"juv: robe blanche avec une large bande verticale orangée                  PI: rouge avec des écailles bordées et ponctuées de noires . Sur le dos large bande blanche /jaune                                                                    PT: bleu clair avec des écailles qui presente une marque rose             tete striée de trait rose  ";NA;NA;NA;1;1;0;"48.8";NA;NA;"90";NA;NA;"TL";NA;"0.0222";"2.971";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"117";"Chaetodon_auriga";"CHAETODONTIDAE";"Chaetodon";"auriga";"Chaetodon cocher";NA;NA;"151";NA;"";NA;NA;NA;1;1;1;"10.9";NA;NA;"23";NA;NA;"TL";NA;"0.0404";"2.829";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"118";"Chaetodon_bennetti";"CHAETODONTIDAE";"Chaetodon";"bennetti";"Chaetodon de Bennett";NA;NA;"245";NA;"";NA;NA;NA;1;1;0;"12.9";NA;NA;"20";NA;NA;"TL";NA;"0.0384";"2.885";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"119";"Chaetodon_dolosus";"CHAETODONTIDAE";"Chaetodon";"dolosus";"Papillon africain";NA;NA;"";NA;"";NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"120";"Chaetodon_falcula";"CHAETODONTIDAE";"Chaetodon";"falcula";"Poisson-papillon à selles";NA;NA;"413";NA;"";NA;NA;NA;1;1;0;"12.9";NA;NA;"20";NA;NA;"TL";NA;"0.045";"2.814";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"121";"Chaetodon_guttatissimus";"CHAETODONTIDAE";"Chaetodon";"guttatissimus";"Poison-papillon moucheté";NA;NA;"246,69";NA;"";NA;NA;NA;1;1;1;"8.2";NA;NA;"12";NA;NA;"TL";NA;"0.045";"2.814";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
