"id";"famille";"genre";"espece";"nom_vernaculaire";"WORMS_AphiID";"Fishbase_URL";"photos";"photo_credit";"description";"Ref_description";"Presence_records";"Ref_presence_record";"presence_mayotte";"presence_geyser_zelee";"presence_zelee_nov15";"Taille_maturite";"Type_taille_maturite";"Ref_taille_maturite";"Taille_max";"Type_taille_max";"Ref_taille_max";"Type_mesure_taille_max";"Ref_taille";"coeff_a";"coeff_b";"Niveau_taxo_coeff";"Type_mesure_coeffab";"Ref_coeff";"Interet_commercial_Mayotte";"Ref_commercial_Mayotte";"Vulnerabilite_peche";"Ref_vulnerabilite_peche";"last_update";"Remarque"
"13";"Acanthurus_nigricauda";"ACANTHURIDAE";"Acanthurus";"nigricauda";"Chirurgien à marque noire";NA;NA;"482 180";NA;"tache noire allongée a l'arrière de l'œil seconde tache sur le scalpel. Sa queue port un anneau blanc et les lobes sup et inf sont blancs. Les nageoires anales dorsales caudales sont finement liserées de bleu. ";NA;NA;NA;1;1;0;"15";NA;NA;"40";NA;NA;"TL";NA;"0.0168";"3.168";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"14";"Acanthurus_nigrofuscus";"ACANTHURIDAE";"Acanthurus";"nigrofuscus";"Chirurgien marron";NA;NA;"628 106";NA;"Chirurgien brun noir à liséré bleu. Tête ponctuée de nombreuses taches rondes orange. Deux taches noires sur la partie postérieure des dorsales et anales les nageoires sont plutôt rondes ce qui le differencie de ctenochaetus striatus qui a les nageoires en pointe.Les juvéniles ont des points jaunes sur la tête. Juv points jaunes";NA;NA;NA;1;1;1;"10.5";NA;NA;"21";NA;NA;"TL";NA;"0.0089";"3.278";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"15";"Acanthurus_olivaceus";"ACANTHURIDAE";"Acanthurus";"olivaceus";"Chirurgien à tache orange";NA;NA;"";NA;"";NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"Acanthurus_sp.";"ACANTHURIDAE";"Acanthurus";"sp.";"";NA;NA;"57";NA;"";NA;NA;NA;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"17";"Acanthurus_tennentii";"ACANTHURIDAE";"Acanthurus";"tennentii";"Chirurgien lieutenant";NA;NA;"725,724,635,633,223";NA;"Deux barrettes noires situées en arrière de l'œil. Tache ovale sombre bordé de de bleu clair couvre le scalpel";NA;NA;NA;1;1;1;"19";NA;NA;"31";NA;NA;"TL";NA;"0.028";"2.983";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"18";"Acanthurus_thompsoni";"ACANTHURIDAE";"Acanthurus";"thompsoni";"Chirurgien de Thompson";NA;NA;"200,13";NA;"petit chirurgien avec une queue blanche. A tache noire à la base du pedoncule sous la dorsale ";NA;NA;NA;1;1;1;"16";NA;NA;"27";NA;NA;"TL";NA;"0.028";"2.983";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"19";"Acanthurus_triostegus";"ACANTHURIDAE";"Acanthurus";"triostegus";"Chirurgien bagnard";NA;NA;"8";NA;"";NA;NA;NA;1;1;0;"12";NA;NA;"27";NA;NA;"TL";NA;"0.0831";"2.57";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"20";"Acanthurus_tristis";"ACANTHURIDAE";"Acanthurus";"tristis";"Chirurgien triste, Chirurgien à joues noires";NA;NA;"631,629,58";NA;"robe marron sombre. Tete plus clair et pastille noire autour de l'œil. Bord de la queue est liséré de blanc";NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"21";"Acanthurus_xanthopterus";"ACANTHURIDAE";"Acanthurus";"xanthopterus";"Chirurgien à nageoires jaunes";NA;NA;"109,54";NA;"Allure semblable au A.dussumieri mais sa teinte est bleutée pas trop de ligne sinueuse sur la robe. Son scalpel est noir. ";NA;NA;NA;1;1;1;"35";NA;NA;"70";NA;NA;"TL";NA;"0.0267";"2.984";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"22";"Aethaloperca_rogaa";"SERRANIDAE";"Aethaloperca";"rogaa";"Vieille rogaa";NA;NA;"432,59";NA;"";NA;NA;NA;1;1;1;"34.1";NA;NA;"60";NA;NA;"TL";NA;"0.0134";"3.031";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
