"X.sampling_code";"field_code";"date";"time";"country";"site";"code_site";"longitude";"latitude";"Abiotic_code";"Tide_code";"depth";"technique";"project";"remarks"
"30";"MAEURUV011";"ES11";"2019-04-09";"11:03:00";"FR_europa";"Europa_north";"EURO_N";40.35964;-22.3292;"EURO3";"FR_europa_TID_02";72;"RUV";"MAPOR";NA
"31";"MAEURUV012";"ES12";"2019-04-09";"13:02:00";"FR_europa";"Europa_north";"EURO_N";40.33195;-22.34172;"EURO4";"FR_europa_TID_02";73;"RUV";"MAPOR";"remonté car en dérive"
"32";"MAEURUV013";"ES13";"2019-04-09";"13:14:00";"FR_europa";"Europa_north";"EURO_N";40.33195;-22.34196;"EURO4";"FR_europa_TID_02";61;"RUV";"MAPOR";"remonté car en dérive"
"33";"MAEURUV014";"ES14";"2019-04-09";"13:38:00";"FR_europa";"Europa_north";"EURO_N";40.33214;-22.34209;"EURO4";"FR_europa_TID_02";35;"RUV";"MAPOR";"remonté car en dérive"
"34";"MAEURUV015";"ES15";"2019-04-09";"13:54:00";"FR_europa";"Europa_north";"EURO_N";40.33145;-22.34226;"EURO4";"FR_europa_TID_02";50;"RUV";"MAPOR";NA
"35";"MAEURUV016";"ES16";"2019-04-09";"14:20:00";"FR_europa";"Europa_north";"EURO_N";40.33089;-22.3421;"EURO4";"FR_europa_TID_02";60;"RUV";"MAPOR";"remonté car en dérive"
"36";"MAEURUV017";"ES17";"2019-04-09";"14:28:00";"FR_europa";"Europa_north";"EURO_N";40.33119;-22.34266;"EURO4";"FR_europa_TID_02";30;"RUV";"MAPOR";NA
"37";"MAEURUV018";"ES18";"2019-04-09";"14:35:00";"FR_europa";"Europa_north";"EURO_N";40.33169;-22.34292;"EURO4";"FR_europa_TID_02";13;"RUV";"MAPOR";"fibre optique débranché"
"38";"MAEURUV019";"ES19";"2019-04-09";"14:38:00";"FR_europa";"Europa_north";"EURO_N";40.33204;-22.34328;"EURO4";"FR_europa_TID_02";7;"RUV";"MAPOR";NA
"39";"MAEURUV020";"ES20";"2019-04-10";"11:00:00";"FR_europa";"Europa_north";"EURO_N";40.37742;-22.33063;"EURO6";"FR_europa_TID_03";6;"RUV";"MAPOR";"repose rapidos et pris c'est mis à l'eau"
"40";"MAEURUV021";"ES21";"2019-04-10";"11:10:00";"FR_europa";"Europa_north";"EURO_N";40.37779;-22.32905;"EURO6";"FR_europa_TID_03";19.2;"RUV";"MAPOR";NA
"41";"MAEURUV022";"ES22";"2019-04-10";"11:18:00";"FR_europa";"Europa_north";"EURO_N";40.37864;-22.32873;"EURO6";"FR_europa_TID_03";32;"RUV";"MAPOR";NA
"42";"MAEURUV023";"ES23";"2019-04-10";"11:28:00";"FR_europa";"Europa_north";"EURO_N";40.37996;-22.32845;"EURO6";"FR_europa_TID_03";52.3;"RUV";"MAPOR";"remonté car en dérive"
"43";"MAEURUV024";"ES24";"2019-04-10";"11:40:00";"FR_europa";"Europa_north";"EURO_N";40.38286;-22.32849;"EURO6";"FR_europa_TID_03";68;"RUV";"MAPOR";"gopro droite 4 arrété"
"44";"MAEURUV025";"ES25";"2019-04-10";"11:58:00";"FR_europa";"Europa_north";"EURO_N";40.38248;-22.32881;"EURO6";"FR_europa_TID_03";50;"RUV";"MAPOR";NA
"45";"MAEURUV026";"ES26";"2019-04-10";"14:02:00";"FR_europa";"Europa_north";"EURO_N";40.3595;-22.32926;"EURO7";"FR_europa_TID_03";74.9;"RUV";"MAPOR";NA
"46";"MAEURUV027";"ES27";"2019-04-10";"14:13:00";"FR_europa";"Europa_north";"EURO_N";40.35947;-22.32957;"EURO7";"FR_europa_TID_03";56;"RUV";"MAPOR";NA
"47";"MAEURUV028";"ES28";"2019-04-10";"14:20:00";"FR_europa";"Europa_north";"EURO_N";40.35935;-22.32988;"EURO7";"FR_europa_TID_03";24;"RUV";"MAPOR";NA
"48";"MAEURUV029";"ES29";"2019-04-10";"14:26:00";"FR_europa";"Europa_north";"EURO_N";40.35925;-22.33037;"EURO7";"FR_europa_TID_03";18;"RUV";"MAPOR";NA
"49";"MAEURUV030";"ES30";"2019-04-10";"14:32:00";"FR_europa";"Europa_north";"EURO_N";40.35927;-22.33187;"EURO7";"FR_europa_TID_03";8.2;"RUV";"MAPOR";NA
"50";"MAEURUV031";"ES31";"2019-04-10";"14:57:00";"FR_europa";"Europa_north";"EURO_N";40.35937;-22.32957;"EURO7";"FR_europa_TID_03";52.8;"RUV";"MAPOR";NA
"51";"MAEURUV032";"ES32";"2019-04-10";"15:18:00";"FR_europa";"Europa_north";"EURO_N";40.35947;-22.32926;"EURO7";"FR_europa_TID_03";70;"RUV";"MAPOR";NA
"52";"MAEURUV033";"ES33";"2019-04-11";"09:54:00";"FR_europa";"Europa_north";"EURO_N";40.38296;-22.32838;"EURO9";"FR_europa_TID_04";72;"RUV";"MAPOR";"remonté car en dérive"
"53";"MAEURUV034";"ES34";"2019-04-11";"10:04:00";"FR_europa";"Europa_north";"EURO_N";40.38239;-22.32895;"EURO9";"FR_europa_TID_04";34.5;"RUV";"MAPOR";NA
"54";"MAEURUV035";"ES35";"2019-04-11";"10:13:00";"FR_europa";"Europa_north";"EURO_N";40.3824;-22.32911;"EURO9";"FR_europa_TID_04";29.6;"RUV";"MAPOR";NA
"55";"MAEURUV036";"ES36";"2019-04-11";"10:30:00";"FR_europa";"Europa_north";"EURO_N";40.38294;-22.32861;"EURO9";"FR_europa_TID_04";57.4;"RUV";"MAPOR";"attaché au fond donc tentative de décrochage pendant 1h avant d'y arriver"
"56";"MAEURUV037";"ES37";"2019-04-11";"10:39:00";"FR_europa";"Europa_north";"EURO_N";40.38194;-22.32966;"EURO9";"FR_europa_TID_04";18.7;"RUV";"MAPOR";NA
"57";"MAEURUV038";"ES38";"2019-04-11";"10:46:00";"FR_europa";"Europa_north";"EURO_N";40.38096;-22.33117;"EURO9";"FR_europa_TID_04";6.8;"RUV";"MAPOR";NA
"58";"MAEURUV039";"ES39";"2019-04-11";"13:39:00";"FR_europa";"Europa_north";"EURO_N";40.35805;-22.33241;"EURO10";"FR_europa_TID_04";6.3;"RUV";"MAPOR";NA
"59";"MAEURUV040";"ES40";"2019-04-11";"13:45:00";"FR_europa";"Europa_north";"EURO_N";40.35802;-22.33057;"EURO10";"FR_europa_TID_04";20;"RUV";"MAPOR";NA
"60";"MAEURUV041";"ES41";"2019-04-11";"13:51:00";"FR_europa";"Europa_north";"EURO_N";40.35818;-22.33014;"EURO10";"FR_europa_TID_04";28.6;"RUV";"MAPOR";NA
"61";"MAEURUV042";"ES42";"2019-04-11";"14:00:00";"FR_europa";"Europa_north";"EURO_N";40.35878;-22.32985;"EURO10";"FR_europa_TID_04";39;"RUV";"MAPOR";NA
"62";"MAEURUV043";"ES43";"2019-04-11";"14:06:00";"FR_europa";"Europa_north";"EURO_N";40.35963;-22.32925;"EURO10";"FR_europa_TID_04";66;"RUV";"MAPOR";NA
"63";"MAJULONG006";"long6";"2019-04-13";"11:00:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.75455;-17.02681;"JUAN1";"FR_juan_nova_TID_01";12;"RUV";"MAPOR";"système déposé puis corde 5m passé devant chaque caméra"
"64";"MAJULONG007";"long6bis";"2019-04-13";"15:45:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.75455;-17.02681;"JUAN3";"FR_juan_nova_TID_01";12;"RUV";"MAPOR";"système échangé avec la vidéo de long6 (même position pour capturer la soirée)"
"65";"MAJULONG008";"long7";"2019-04-14";"09:10:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.75455;-17.02681;"JUAN4";"FR_juan_nova_TID_02";12;"RUV";"MAPOR";"système échangé avec la vidéo de long6bis (même position)"
"66";"MAJULONG009";"long8";"2019-04-16";"09:00:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.68948;-17.02203;"JUAN8";"FR_juan_nova_TID_04";6;"RUV";"MAPOR";"calibration distance et cadrat"
"67";"MAJURUV001";"JNS1";"2019-04-13";"11:46:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.75318;-17.02412;"JUAN2";"FR_juan_nova_TID_01";9.5;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"68";"MAJURUV002";"JNS2";"2019-04-13";"12:00:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.75522;-17.01851;"JUAN2";"FR_juan_nova_TID_01";11.1;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"69";"MAJURUV003";"JNS3";"2019-04-13";"12:20:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.74786;-17.00413;"JUAN2";"FR_juan_nova_TID_01";13.9;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"70";"MAJURUV004";"JNS4";"2019-04-13";"12:38:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.74787;-17.0175;"JUAN2";"FR_juan_nova_TID_01";13.3;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"71";"MAJURUV005";"JNS5";"2019-04-13";"12:53:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.74598;-17.03668;"JUAN2";"FR_juan_nova_TID_01";3.7;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"72";"MAJURUV006";"JNS6";"2019-04-13";"13:03:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.7436;-17.04006;"JUAN2";"FR_juan_nova_TID_01";4.9;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"73";"MAJURUV007";"JNS7";"2019-04-13";"14:00:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.7532;-17.02414;"JUAN3";"FR_juan_nova_TID_01";10.2;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"74";"MAJURUV008";"JNS8";"2019-04-13";"14:18:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.75521;-17.0185;"JUAN3";"FR_juan_nova_TID_01";10.5;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"75";"MAJURUV009";"JNS9";"2019-04-13";"14:42:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.74787;-17.0042;"JUAN3";"FR_juan_nova_TID_01";14.5;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"76";"MAJURUV010";"JNS10";"2019-04-13";"15:03:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.74788;-17.01753;"JUAN3";"FR_juan_nova_TID_01";13.7;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"77";"MAJURUV011";"JNS11";"2019-04-13";"15:20:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.74597;-17.03664;"JUAN3";"FR_juan_nova_TID_01";2.9;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"78";"MAJURUV012";"JNS12";"2019-04-13";"15:30:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.74359;-17.04006;"JUAN3";"FR_juan_nova_TID_01";4;"RUV";"MAPOR";"Yann partie a l'eau pour bien placer la caméra"
"79";"MAJURUV013";"JNS13";"2019-04-14";"09:40:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.73252;-17.01657;"JUAN5";"FR_juan_nova_TID_02";9;"RUV";"MAPOR";"Elliott a posé manuellement cette caméra sur un site ou il y a du poisson"
"80";"MAJURUV014";"JNS14";"2019-04-14";"09:56:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.72809;-17.00731;"JUAN5";"FR_juan_nova_TID_02";14.6;"RUV";"MAPOR";"Elliott a posé manuellement cette caméra sur un site ou il y a du poisson"
"81";"MAJURUV015";"JNS15";"2019-04-14";"10:17:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.72607;-16.99785;"JUAN5";"FR_juan_nova_TID_02";15.3;"RUV";"MAPOR";"Elliott a posé manuellement cette caméra sur un site ou il y a du poisson"
"82";"MAJURUV016";"JNS16";"2019-04-14";"10:37:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.73324;-16.99636;"JUAN5";"FR_juan_nova_TID_02";15.8;"RUV";"MAPOR";"Elliott a posé manuellement cette caméra sur un site ou il y a du poisson"
"83";"MAJURUV017";"JNS17";"2019-04-14";"10:53:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.73675;-16.99471;"JUAN5";"FR_juan_nova_TID_02";17.4;"RUV";"MAPOR";"Elliott a posé manuellement cette caméra sur un site ou il y a du poisson"
"84";"MAJURUV018";"JNS18";"2019-04-14";"11:19:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.73958;-16.98995;"JUAN5";"FR_juan_nova_TID_02";17.8;"RUV";"MAPOR";"Elliott a posé manuellement cette caméra sur un site ou il y a du poisson"
"85";"MAJURUV019";"JNS19";"2019-04-14";"13:52:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.75731;-17.00472;"JUAN6";"FR_juan_nova_TID_02";17.9;"RUV";"MAPOR";"Elliott a posé manuellement cette caméra sur un site ou il y a du poisson"
"86";"MAJURUV020";"JNS20";"2019-04-14";"14:08:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.76947;-17.00512;"JUAN6";"FR_juan_nova_TID_02";14.1;"RUV";"MAPOR";"Elliott a posé manuellement cette caméra sur un site ou il y a du poisson"
"87";"MAJURUV021";"JNS21";"2019-04-14";"14:23:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.76552;-17.01885;"JUAN6";"FR_juan_nova_TID_02";13.9;"RUV";"MAPOR";"Elliott a posé manuellement cette caméra sur un site ou il y a du poisson"
"88";"MAJURUV022";"JNS22";"2019-04-14";"14:41:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.76782;-17.02402;"JUAN6";"FR_juan_nova_TID_02";18;"RUV";"MAPOR";"Elliott a posé manuellement cette caméra sur un site ou il y a du poisson"
"89";"MAJURUV023";"JNS23";"2019-04-15";"09:18:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.65763;-17.0164;"JUAN7";"FR_juan_nova_TID_03";16.2;"RUV";"MAPOR";"trop de courant pose raté (plus de 2 nœud de courant)"
"90";"MAJURUV024";"JNS24";"2019-04-15";"10:35:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.65936;-16.96499;"JUAN7";"FR_juan_nova_TID_03";24.8;"RUV";"MAPOR";"pose raté sur du sable"
"91";"MAJURUV025";"JNS25";"2019-04-15";"11:04:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.66038;-16.9634;"JUAN7";"FR_juan_nova_TID_03";20.9;"RUV";"MAPOR";"Elliott a positionné cette caméra, Elliott a repositionné cette caméra a 11:47"
"92";"MAJURUV026";"JNS26";"2019-04-15";"11:21:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.66018;-16.96261;"JUAN7";"FR_juan_nova_TID_03";27.7;"RUV";"MAPOR";"caméra de droite remplacé par caméra 7"
"93";"MAJURUV027";"JNS27";"2019-04-15";"11:31:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.65969;-16.96279;"JUAN7";"FR_juan_nova_TID_03";48;"RUV";"MAPOR";NA
"94";"MAJURUV028";"JNS28";"2019-04-15";"11:42:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.65927;-16.96205;"JUAN7";"FR_juan_nova_TID_03";70.5;"RUV";"MAPOR";NA
"95";"MAJURUV029";"JNS29";"2019-04-15";"11:58:00";"FR_juan_de_nova";"Juan_de_Nova_lagon";"JUAN_N";42.66196;-16.96457;"JUAN7";"FR_juan_nova_TID_03";16.5;"RUV";"MAPOR";"11:58 Elliott qui sonde pour déposer la caméra"
